button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.206000000000003],[6.206000000000003],787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,space,3.973,,,,,,,,,,,,,,,,,,,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,44.4,43.4,,,,,,,,,,,,,,,,,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,space,7.821,,,,,,,,,,,,,,,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,space,0.438,,,,,,,,,,,,,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,30,32,space,9.747,46,7.342,0,0,0,0,1,101,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,38,32,space,5.197,46,4.05,0,1,1,1,1,102,,,,,,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,42,32,space,4.666,15,3.091,,,,,,68,0,0,0,68,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,48,32,space,6.093,11,3.815,,,,,,76,0,1,1,76,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,33,32,space,3.937,8,2.566,,,,,,6,0,2,2,6,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,42,32,space,6.465,5,4.815,,,,,,37,0,3,3,37,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,42,32,space,3.547,,,,,,,,25,0,4,4,25,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,26,32,space,4.158,12,2.099,,,,,,61,0,5,5,61,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,50,32,space,3.24,3,2.219,,,,,,24,0,6,6,24,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,34,32,space,3.654,3,2.836,,,,,,21,0,7,7,21,1,,
,,,787,5a4a8802817d1800018d2549,40,female,2022-11-22_17h08.12.829,onlinegloss,2022.2.3,MacIntel,35.71428571,,,,,,,,,42,32,space,2.945,6,1.851,,,,,,47,0,8,8,47,1,,
