button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.821700000000185],[6.821700000000185],862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,space,3.983,,,,,,,,,,,,,,,,,,,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,60,54.8,,,,,,,,,,,,,,,,,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,space,10.4528,,,,,,,,,,,,,,,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,space,12.1874,,,,,,,,,,,,,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,43,53,space,12.3332,24,11.3286,0,0,0,0,1,101,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,47,53,space,10.6853,35,8.4478,0,1,1,1,1,102,,,,,,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,29,53,space,7.1462,1,4.858,,,,,,0,0,0,0,0,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,40,53,space,5.6935,4,4.408,,,,,,63,0,1,1,63,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,35,53,space,5.9093,6,3.6563,,,,,,79,0,2,2,79,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,38,53,space,12.4562,29,5.9451,,,,,,12,0,3,3,12,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,41,53,space,3.8726,2,2.9719,,,,,,7,0,4,4,7,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,48,53,space,6.9461,40,6.0106,,,,,,39,0,5,5,39,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,34,53,space,8.8997,32,7.9144,,,,,,5,0,6,6,5,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,51,53,space,4.5076,52,3.0886,,,,,,70,0,7,7,70,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,35,53,space,5.0419,16,3.673,,,,,,11,0,8,8,11,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,44,53,space,5.8093,24,4.8254,,,,,,64,0,9,9,64,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,41,53,space,3.8722,1,2.548,,,,,,47,0,10,10,47,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,49,53,space,4.0567,44,2.9887,,,,,,69,0,11,11,69,1,,
,,,862,60b89ba76d4442510a145c7b,20,male,2022-11-22_17h13.23.040,onlinegloss,2022.2.3,Win32,59.91970759,,,,,,,,,42,53,space,7.0302,3,6.0453,,,,,,42,0,12,12,42,1,,
