button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.301100000023844],[3.301100000023844],450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,space,2.0675,,,,,,,,,,,,,,,,,,,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,43.9,40.2,,,,,,,,,,,,,,,,,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,space,9.4307,,,,,,,,,,,,,,,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,space,10.4102,,,,,,,,,,,,,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,41,19,space,33.7912,45,30.7481,0,0,0,0,1,101,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,29,19,space,8.5917,41,7.5865,0,1,1,1,1,102,,,,,,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,29,19,space,5.997,41,5.5002,,,,,,83,0,0,0,83,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,33,19,space,7.7421,13,7.2852,,,,,,17,0,1,1,17,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,48,19,space,3.6078,14,1.7491,,,,,,54,0,2,2,54,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,36,19,space,5.1898,20,3.9769,,,,,,82,0,3,3,82,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,38,19,space,5.5575,32,5.2254,,,,,,16,0,4,4,16,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,27,19,space,6.1917,42,5.8691,,,,,,24,0,5,5,24,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,39,19,space,5.4965,19,4.5057,,,,,,49,0,6,6,49,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,48,19,space,3.0256,18,1.8879,,,,,,66,0,7,7,66,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,38,19,space,6.2342,34,5.7606,,,,,,20,0,8,8,20,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,42,19,space,4.8067,41,4.1576,,,,,,74,0,9,9,74,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,47,19,space,2.5903,20,1.5366,,,,,,29,0,10,10,29,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,27,19,space,4.249,3,3.7316,,,,,,33,0,11,11,33,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,39,19,space,5.8944,35,5.6476,,,,,,77,0,12,12,77,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,28,19,space,5.599,4,4.8276,,,,,,46,0,13,13,46,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,39,19,space,4.3178,33,3.2741,,,,,,14,0,14,14,14,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,38,19,space,10.8191,23,1.5715,,,,,,47,0,15,15,47,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,32,19,space,4.6269,28,4.0544,,,,,,73,0,16,16,73,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,37,19,space,1.9687,33,1.2956,,,,,,62,0,17,17,62,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,37,19,space,2.5224,28,2.2044,,,,,,26,0,18,18,26,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,51,19,space,2.7928,13,1.7787,,,,,,39,0,19,19,39,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,43,19,space,4.5348,17,4.1454,,,,,,38,0,20,20,38,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,50,19,space,1.7589,,,,,,,,18,0,21,21,18,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,42,19,space,3.2553,17,1.9383,,,,,,67,0,22,22,67,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,42,19,space,2.8994,20,1.7877,,,,,,63,0,23,23,63,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,47,19,space,17.763,19,16.5543,,,,,,2,0,24,24,2,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,49,19,space,48.3486,23,44.8862,,,,,,51,0,25,25,51,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,44,19,space,6.0673,37,5.4208,,,,,,53,0,26,26,53,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,48,19,space,3.015,29,2.1375,,,,,,58,0,27,27,58,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,36,19,space,3.4067,13,2.4543,,,,,,70,0,28,28,70,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,34,19,space,1.9499,,,,,,,,12,0,29,29,12,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,33,19,space,1.5471,,,,,,,,40,0,30,30,40,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,43,19,space,4.0141,14,3.0707,,,,,,56,0,31,31,56,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,48,19,space,1.4994,,,,,,,,34,0,32,32,34,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,35,19,space,4.0002,51,3.138,,,,,,15,0,33,33,15,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,40,19,space,2.8139,2,2.0212,,,,,,72,0,34,34,72,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,40,19,space,3.4988,4,3.0372,,,,,,10,0,35,35,10,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,36,19,space,1.8151,3,1.4877,,,,,,1,0,36,36,1,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,31,19,space,1.9669,6,1.5705,,,,,,57,0,37,37,57,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,32,19,space,1.4658,,,,,,,,21,0,38,38,21,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,33,19,space,4.6835,10,3.988,,,,,,65,0,39,39,65,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,37,19,space,1.6194,,,,,,,,27,0,40,40,27,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,46,19,space,2.6099,6,1.6265,,,,,,7,0,41,41,7,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,43,19,space,4.4368,14,3.9917,,,,,,42,0,42,42,42,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,29,19,space,2.9667,15,2.6454,,,,,,28,0,43,43,28,1,,
,,,450,59a761ca1363d90001676931, 59,Female,2022-11-22_14h36.56.823,onlinegloss,2022.2.3,Win32,60.11783095,,,,,,,,,29,19,space,3.1899,17,1.5888,,,,,,78,0,44,44,78,1,,
