button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.3991999999284737],[3.3992999999523157],312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,space,7.1068,,,,,,,,,,,,,,,,,,,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,37.3,36.7,,,,,,,,,,,,,,,,,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,space,6.9389,,,,,,,,,,,,,,,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,space,5.5182,,,,,,,,,,,,,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,46,43,space,16.2879,32,15.5518,0,0,0,0,1,101,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,39,43,space,13.327,26,12.9078,0,1,1,1,1,102,,,,,,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,45,43,space,12.9277,4,11.3526,,,,,,23,0,0,0,23,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,31,43,space,9.4072,14,9.0388,,,,,,64,0,1,1,64,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,40,43,space,5.1375,14,4.8189,,,,,,32,0,2,2,32,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,46,43,space,5.1719,30,4.9865,,,,,,44,0,3,3,44,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,27,43,space,4.5701,13,3.45,,,,,,18,0,4,4,18,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,48,43,space,3.6703,12,3.0838,,,,,,31,0,5,5,31,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,29,43,space,7.2732,1,6.8039,,,,,,0,0,6,6,0,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,40,43,space,6.7887,7,5.9197,,,,,,82,0,7,7,82,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,46,43,space,4.988,8,4.6198,,,,,,70,0,8,8,70,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,37,43,space,4.0205,10,3.7693,,,,,,4,0,9,9,4,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,45,43,space,3.57,1,2.6334,,,,,,45,0,10,10,45,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,32,43,space,4.7367,35,4.5016,,,,,,22,0,11,11,22,1,,
,,,312,5e133d58ac9e169987f2ec2c,36,female,2022-11-22_09h36.02.957,onlinegloss,2022.2.3,Win32,59.86231667,,,,,,,,,50,43,space,3.2365,1,2.5668,,,,,,75,0,12,12,75,1,,
