button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.471800000000048],[2.47190000000014],299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,space,4.7585,,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,44.8,40,,,,,,,,,,,,,,,,,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,space,8.3666,,,,,,,,,,,,,,,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,space,6.82,,,,,,,,,,,,,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,41,30,space,9.1684,37,8.3656,0,0,0,0,1,101,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,49,30,space,6.847,48,6.5148,0,1,1,1,1,102,,,,,,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,44,30,space,23.5048,9,22.6261,,,,,,73,0,0,0,73,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,43,30,space,5.7518,40,5.3008,,,,,,45,0,1,1,45,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,27,30,space,3.5556,29,1.721,,,,,,78,0,2,2,78,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,43,30,space,9.9957,16,9.4374,,,,,,62,0,3,3,62,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,36,30,space,4.533,1,3.5385,,,,,,75,0,4,4,75,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,43,30,space,4.1256,2,3.5885,,,,,,1,0,5,5,1,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,50,30,space,6.2007,13,4.9491,,,,,,21,0,6,6,21,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,44,30,space,3.116,4,2.5498,,,,,,53,0,7,7,53,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,29,30,space,5.3411,25,4.7879,,,,,,67,0,8,8,67,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,44,30,space,3.4102,38,2.2186,,,,,,77,0,9,9,77,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,42,30,space,6.2268,36,4.602,,,,,,83,0,10,10,83,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,27,30,space,6.2067,19,5.1448,,,,,,72,0,11,11,72,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,51,30,space,2.9753,8,2.6727,,,,,,46,0,12,12,46,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,50,30,space,6.0696,31,5.4817,,,,,,38,0,13,13,38,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,36,30,space,2.6004,31,2.3873,,,,,,82,0,14,14,82,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,47,30,space,28.6442,6,27.3571,,,,,,32,0,15,15,32,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,45,30,space,4.746,22,3.4292,,,,,,16,0,16,16,16,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,32,30,space,3.4037,13,3.0325,,,,,,44,0,17,17,44,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,41,30,space,3.4007,26,2.7884,,,,,,8,0,18,18,8,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,46,30,space,2.5872,2,2.3342,,,,,,37,0,19,19,37,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,51,30,space,10.1332,1,9.2349,,,,,,0,0,20,20,0,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,36,30,space,5.2769,1,4.8509,,,,,,64,0,21,21,64,1,,
,,,299,5d9e3d92741d7f00136604d5,44,female,2022-11-22_09h35.26.391,onlinegloss,2022.2.3,Win32,59.84082341,,,,,,,,,43,30,space,6.1268,25,5.2848,,,,,,24,0,22,22,24,1,,
