button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[9.552000000000007],[9.552000000000007],895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,space,3.205,,,,,,,,,,,,,,,,,,,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,65.9,66.6,,,,,,,,,,,,,,,,,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,19.553,,,,,,,,,,,,,,,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,18.126,,,,,,,,,,,,,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,32,space,23.943,35,22.354,0,0,0,0,1,101,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,43,32,space,9.379,38,7.755,0,1,1,1,1,102,,,,,,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,32,space,8.456,1,7.143,,,,,,5,0,0,0,5,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,32,space,4.283,15,2.625,,,,,,6,0,1,1,6,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,32,space,9.092,24,7.987,,,,,,7,0,2,2,7,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,32,space,10.313,17,8.394,,,,,,68,0,3,3,68,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,26,32,space,8.956,19,8.363,,,,,,50,0,4,4,50,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,36,32,space,11.662,3,10.154,,,,,,71,0,5,5,71,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,32,space,9.305,13,6.337,,,,,,78,0,6,6,78,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,32,space,4.197,1,3.69,,,,,,75,0,7,7,75,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,32,space,9.487,36,8.1,,,,,,20,0,8,8,20,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,48,32,space,7.76,1,7.141,,,,,,0,0,9,9,0,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,32,space,7.166,42,4.489,,,,,,84,0,10,10,84,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,32,space,5.398,19,3.758,,,,,,17,0,11,11,17,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,29,32,space,4.98,1,4.109,,,,,,30,0,12,12,30,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,32,space,4.484,3,2.901,,,,,,29,0,13,13,29,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,32,space,10.166,8,4.455,,,,,,66,0,14,14,66,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,26,32,space,4.084,1,3.521,,,,,,38,0,15,15,38,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,48,32,space,6.786,2,6.132,,,,,,18,0,16,16,18,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,32,space,6.953,13,6.409,,,,,,25,0,17,17,25,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,32,space,9.136,32,8.649,,,,,,33,0,18,18,33,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,32,space,3.392,1,3,,,,,,63,0,19,19,63,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,42,32,space,5.077,45,4.288,,,,,,45,0,20,20,45,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,44,32,space,6.878,3,6.29,,,,,,12,0,21,21,12,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,32,space,4.746,30,4.09,,,,,,80,0,22,22,80,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,32,space,6.508,1,6.043,,,,,,57,0,23,23,57,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,32,space,7.442,16,7.093,,,,,,76,0,24,24,76,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,36,32,space,3.043,1,2.591,,,,,,72,0,25,25,72,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,32,space,60.666,10,59.873,,,,,,15,0,26,26,15,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,30,32,space,4.103,19,2.74,,,,,,22,0,27,27,22,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,35,32,space,3.758,1,3.193,,,,,,44,0,28,28,44,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,32,space,6.895,16,6.539,,,,,,3,0,29,29,3,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,32,space,3.369,1,2.975,,,,,,19,0,30,30,19,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,32,space,3.345,,,,,,,,74,0,31,31,74,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,32,space,6.011,36,5.158,,,,,,58,0,32,32,58,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,40,32,space,5.301,17,4.839,,,,,,24,0,33,33,24,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,26,32,space,4.452,1,3.599,,,,,,69,0,34,34,69,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,32,space,7.022,23,5.076,,,,,,51,0,35,35,51,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,32,space,14.29,22,13.974,,,,,,55,0,36,36,55,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,40,32,space,4.949,1,4.375,,,,,,8,0,37,37,8,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,32,space,4.338,1,3.79,,,,,,53,0,38,38,53,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,31,32,space,8.149,16,7.64,,,,,,65,0,39,39,65,1,,
,,,895,5c61b5da31489a0001fa81c5,55,female,2022-11-22_17h15.46.936,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,29,32,space,3.402,1,2.977,,,,,,16,0,40,40,16,1,,
