button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.858999999999996],[11.858999999999996],1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,space,17.068,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,44.4,44.2,,,,,,,,,,,,,,,,,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,space,11.612,,,,,,,,,,,,,,,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,space,23.978,,,,,,,,,,,,,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,50,46,space,11.658,50,11.494,0,0,0,0,1,101,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,47,46,space,6.091,47,5.918,0,1,1,1,1,102,,,,,,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,46,46,space,5.562,1,4.827,,,,,,46,0,0,0,46,1,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,47,46,space,3.385,1,1.901,,,,,,16,0,1,1,16,1,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,46,46,space,4.717,52,4.478,,,,,,74,0,2,2,74,1,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,31,46,space,7.756,32,7.43,,,,,,80,0,3,3,80,1,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,48,46,space,3.529,1,2.342,,,,,,56,0,4,4,56,1,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,39,46,space,4.72,23,4.536,,,,,,59,0,5,5,59,1,,
,,,1171,5f2a7099a768ae2727b02cb1,29,male,2022-11-23_18h15.17.260,onlinegloss,2022.2.3,Win32,144.092219,,,,,,,,,31,46,space,6.106,20,5.883,,,,,,13,0,6,6,13,1,,
