button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.816],[11.816],200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,space,6.5895,,,,,,,,,,,,,,,,,,,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,38.5,36.7,,,,,,,,,,,,,,,,,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,space,11.1863,,,,,,,,,,,,,,,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,space,29.5394,,,,,,,,,,,,,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,48,39,space,12.708,14,9.058,0,0,0,0,1,101,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,51,39,space,7.7825,10,5.3709,0,1,1,1,1,102,,,,,,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,45,39,space,13.1508,16,12.4356,,,,,,67,0,0,0,67,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,51,39,space,7.3996,42,6.5631,,,,,,59,0,1,1,59,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,35,39,space,4.2606,2,2.6432,,,,,,55,0,2,2,55,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,43,39,space,7.0216,18,5.6952,,,,,,82,0,3,3,82,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,42,39,space,2.8041,1,2.0052,,,,,,11,0,4,4,11,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,29,39,space,3.8114,11,2.7645,,,,,,61,0,5,5,61,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,40,39,space,2.7702,52,1.7632,,,,,,84,0,6,6,84,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,34,39,space,2.5864,1,1.8848,,,,,,18,0,7,7,18,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,32,39,space,7.079,31,5.8786,,,,,,57,0,8,8,57,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,35,39,space,3.998,1,3.6476,,,,,,16,0,9,9,16,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,33,39,space,2.3109,1,1.9115,,,,,,56,0,10,10,56,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,48,39,space,3.657,11,3.195,,,,,,26,0,11,11,26,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,50,39,space,5.5695,22,4.9117,,,,,,36,0,12,12,36,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,40,39,space,3.2859,33,2.7848,,,,,,3,0,13,13,3,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,30,39,space,2.1153,1,1.6283,,,,,,12,0,14,14,12,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,33,39,space,1.461,1,1.2782,,,,,,40,0,15,15,40,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,48,39,space,2.2978,7,1.923,,,,,,13,0,16,16,13,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,34,39,space,3.3271,18,2.9034,,,,,,46,0,17,17,46,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,50,39,space,6.4951,12,6.0246,,,,,,25,0,18,18,25,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,48,39,space,3.3863,30,2.924,,,,,,81,0,19,19,81,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,34,39,space,4.2526,29,3.8534,,,,,,54,0,20,20,54,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,41,39,space,1.5433,30,1.1688,,,,,,71,0,21,21,71,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,33,39,space,1.3223,1,1.0448,,,,,,79,0,22,22,79,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,41,39,space,2.9236,35,2.6369,,,,,,66,0,23,23,66,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,36,39,space,2.1983,13,1.9116,,,,,,14,0,24,24,14,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,52,39,space,2.1014,6,1.7682,,,,,,15,0,25,25,15,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,51,39,space,1.4288,1,1.2282,,,,,,7,0,26,26,7,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,32,39,space,1.4886,1,1.2564,,,,,,20,0,27,27,20,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,49,39,space,4.4751,43,4.1244,,,,,,49,0,28,28,49,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,38,39,space,2.0647,40,1.4244,,,,,,10,0,29,29,10,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,36,39,space,1.8281,1,1.3734,,,,,,28,0,30,30,28,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,36,39,space,1.5304,1,1.3395,,,,,,39,0,31,31,39,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,30,39,space,3.4527,33,3.1033,,,,,,2,0,32,32,2,1,,
,,,200,5d4c06c6a8d9fb001a1470d5,35,female,2022-11-22_09h27.50.708,onlinegloss,2022.2.3,Win32,120.0048002,,,,,,,,,50,39,space,2.6355,12,2.27,,,,,,53,0,33,33,53,1,,
