button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[14.428000000000004],[14.428000000000004],74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,space,6.179,,,,,,,,,,,,,,,,,,,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,52.4,50.4,,,,,,,,,,,,,,,,,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,space,12.778,,,,,,,,,,,,,,,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,space,17.724,,,,,,,,,,,,,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,37,21,space,19.085,47,13.671,0,0,0,0,1,101,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,28,21,space,16.923,32,16.29,0,1,1,1,1,102,,,,,,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,34,21,space,4.326,1,2.979,,,,,,30,0,0,0,30,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,37,21,space,11.358,39,10.81,,,,,,20,0,1,1,20,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,34,21,space,6.048,33,5.136,,,,,,50,0,2,2,50,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,35,21,space,3.486,1,2.535,,,,,,70,0,3,3,70,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,49,21,space,8.574,40,8.223,,,,,,38,0,4,4,38,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,36,21,space,6.637,25,6.011,,,,,,77,0,5,5,77,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,45,21,space,3.033,1,2.173,,,,,,63,0,6,6,63,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,33,21,space,8.647,12,8.328,,,,,,15,0,7,7,15,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,42,21,space,7.942,19,6.658,,,,,,25,0,8,8,25,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,31,21,space,9.518,22,8.979,,,,,,65,0,9,9,65,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,40,21,space,9.532,41,9.03,,,,,,26,0,10,10,26,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,45,21,space,6.535,12,5.798,,,,,,11,0,11,11,11,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,52,21,space,8.837,31,7.438,,,,,,43,0,12,12,43,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,34,21,space,18.203,14,17.756,,,,,,5,0,13,13,5,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,41,21,space,8.463,15,7.676,,,,,,76,0,14,14,76,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,49,21,space,9.104,35,8.358,,,,,,10,0,15,15,10,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,36,21,space,16.673,33,16.077,,,,,,28,0,16,16,28,1,,
,,,74,5bf003ccaf38d100016bb945,40,male,2022-11-21_12h50.00.352,onlinegloss,2022.2.3,Win32,75.07507508,,,,,,,,,28,21,space,5.922,14,5.323,,,,,,78,0,17,17,78,1,,
