button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.695499999999999],[7.695599999904633],635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,space,7.6839,,,,,,,,,,,,,,,,,,,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,60,57.2,,,,,,,,,,,,,,,,,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,space,7.1101,,,,,,,,,,,,,,,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,,,space,12.2739,,,,,,,,,,,,,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,,,,,30,42,space,9.5071,45,7.8432,0,0,0,0,1,101,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,,,,,45,42,space,7.7666,47,6.6242,0,1,1,1,1,102,,,,,,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,,,,,44,42,space,6.2752,36,5.6957,,,,,,62,0,0,0,62,1,,
,,,635,5bd46b622ef2f00001d29636,61,male,2022-11-22_14h57.08.226,onlinegloss,2022.2.3,Win32,60.79396924,,,,,,,,,31,42,space,8.1882,10,7.5736,,,,,,70,0,1,1,70,1,,
