button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[14.606199999988089],[14.606299999952324],98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,space,6.8781,,,,,,,,,,,,,,,,,,,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,55,54.7,,,,,,,,,,,,,,,,,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,space,185.8661,,,,,,,,,,,,,,,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,,,space,56.2597,,,,,,,,,,,,,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,,,,,32,45,space,15.3504,43,15.0077,0,0,0,0,1,101,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,,,,,28,45,space,14.4557,19,14.3675,0,1,1,1,1,102,,,,,,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,,,,,42,45,space,13.7379,37,13.121,,,,,,41,0,0,0,41,1,,
,,,98,5d0d3bc8f403080016411213,35,female,2022-11-21_04h55.59.939,onlinegloss,2022.2.3,Win32,39.86446083,,,,,,,,,42,45,space,9.6127,10,9.4608,,,,,,31,0,1,1,31,1,,
