button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[128.5547999999523],[128.555],396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,space,7.2984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,48.2,46.3,,,,,,,,,,,,,,,,,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,12.6866,,,,,,,,,,,,,,,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,30.8285,,,,,,,,,,,,,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,31,19,space,16.1691,36,14.1555,0,0,0,0,1,101,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,33,19,space,12.444,41,11.1339,0,1,1,1,1,102,,,,,,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,19,space,7.3051,41,6.7005,,,,,,83,0,0,0,83,1,,
,,,396,5c9034a2eedbd9001573ca14,58,male,2022-11-22_09h44.06.539,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,19,space,2.5474,,,,,,,,9,0,1,1,9,1,,
