button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.646400000572214],[11.646600000381454],809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,space,5.7505,,,,,,,,,,,,,,,,,,,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,52.9,52.6,,,,,,,,,,,,,,,,,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,space,37.7779,,,,,,,,,,,,,,,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,,,space,58.6374,,,,,,,,,,,,,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,,,,,31,54,space,23.9942,39,21.1994,0,0,0,0,1,101,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,,,,,36,54,space,12.1167,30,11.3462,0,1,1,1,1,102,,,,,,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,,,,,35,54,space,9.7079,20,8.3975,,,,,,8,0,0,0,8,1,,
,,,809,5f9ac21781712420577377a3,43,male,2022-11-22_17h22.25.621,onlinegloss,2022.2.3,Win32,58.44876965,,,,,,,,,37,54,space,18.046,16,16.5141,,,,,,47,0,1,1,47,1,,
