button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.876600000023842],[2.876700000047684],441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,space,4.2678,,,,,,,,,,,,,,,,,,,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,45.6,41.8,,,,,,,,,,,,,,,,,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,space,8.3936,,,,,,,,,,,,,,,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,space,6.427,,,,,,,,,,,,,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,,,37,10,space,4.2303,,,0,0,0,0,1,101,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,,,50,10,space,20.7973,49,18.998,0,1,1,1,1,102,,,,,,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,,,44,10,space,4.2494,51,2.337,,,,,,35,0,0,0,35,1,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,,,34,10,space,7.1342,26,6.8368,,,,,,19,0,1,1,19,1,,
,,,441,5a6325d713898300014b2f82,58,female ,2022-11-22_14h34.27.291,onlinegloss,2022.2.3,Win32,59.65875194,,,,,,,,,45,10,space,5.1242,2,3.3058,,,,,,4,0,2,2,4,1,,
