button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.3518000000119237],[3.3521000000238423],914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,space,3.8581,,,,,,,,,,,,,,,,,,,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,38.9,37.7,,,,,,,,,,,,,,,,,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,space,5.255,,,,,,,,,,,,,,,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,space,2.9241,,,,,,,,,,,,,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,35,51,space,10.3093,39,9.3346,0,0,0,0,1,101,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,29,51,space,7.7792,42,7.3483,0,1,1,1,1,102,,,,,,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,43,51,space,1.8775,52,1.4279,,,,,,30,0,0,0,30,1,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,35,51,space,4.6483,5,4.5484,,,,,,14,0,1,1,14,1,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,43,51,space,4.2628,9,3.763,,,,,,12,0,2,2,12,1,,
,,,914,5ce1372c55fe0d001869c8d8,34,male,2022-11-22_17h17.33.572,onlinegloss,2022.2.3,Win32,59.96282305,,,,,,,,,31,51,space,5.5153,12,4.8658,,,,,,37,0,3,3,37,1,,
