button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[20.210899999976156],[20.211199999988075],867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,space,7.4042,,,,,,,,,,,,,,,,,,,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,41.6,39.3,,,,,,,,,,,,,,,,,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,space,37.2173,,,,,,,,,,,,,,,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,space,26.923,,,,,,,,,,,,,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,31,4,space,19.1603,46,17.3463,0,0,0,0,1,101,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,52,4,space,13.6851,47,9.6572,0,1,1,1,1,102,,,,,,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,44,4,space,11.7409,28,10.2886,,,,,,69,0,0,0,69,1,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,38,4,space,10.7033,48,9.1494,,,,,,67,0,1,1,67,1,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,39,4,space,10.3904,34,8.5822,,,,,,76,0,2,2,76,1,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,42,4,space,10.978,43,9.0347,,,,,,52,0,3,3,52,1,,
,,,867,62347ee217c402f4acae35d0,57, male,2022-11-22_17h13.59.428,onlinegloss,2022.2.3,Win32,59.87306909,,,,,,,,,44,4,space,10.6015,6,9.2215,,,,,,28,0,4,4,28,1,,
