button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.811],[2.811],437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,space,2.11,,,,,,,,,,,,,,,,,,,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,49.1,43.4,,,,,,,,,,,,,,,,,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,space,9.756,,,,,,,,,,,,,,,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,space,2.771,,,,,,,,,,,,,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,49,6,space,9.421,46,8.097,0,0,0,0,1,101,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,29,6,space,15.991,28,15.421,0,1,1,1,1,102,,,,,,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,43,6,space,7.487,10,6.88,,,,,,7,0,0,0,7,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,41,6,space,5.471,10,4.884,,,,,,58,0,1,1,58,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,48,6,space,5.574,37,5.17,,,,,,8,0,2,2,8,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,49,6,space,6.658,6,6.054,,,,,,29,0,3,3,29,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,41,6,space,7.979,28,7.686,,,,,,21,0,4,4,21,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,31,6,space,4.686,1,4.237,,,,,,55,0,5,5,55,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,36,6,space,6.059,19,5.804,,,,,,5,0,6,6,5,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,50,6,space,5.218,15,4.756,,,,,,76,0,7,7,76,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,40,6,space,6.738,15,6.302,,,,,,44,0,8,8,44,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,34,6,space,3.725,1,2.819,,,,,,49,0,9,9,49,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,39,6,space,5.436,23,5.169,,,,,,82,0,10,10,82,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,27,6,space,8.745,11,8.37,,,,,,9,0,11,11,9,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,27,6,space,45.902,38,43.956,,,,,,23,0,12,12,23,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,43,6,space,4.647,11,4.188,,,,,,27,0,13,13,27,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,34,6,space,9.104,6,8.771,,,,,,37,0,14,14,37,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,34,6,space,6.672,14,6.403,,,,,,10,0,15,15,10,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,28,6,space,5.305,12,5.017,,,,,,70,0,16,16,70,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,39,6,space,4.087,1,3.086,,,,,,26,0,17,17,26,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,32,6,space,12.213,18,11.921,,,,,,31,0,18,18,31,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,41,6,space,7.639,22,7.269,,,,,,36,0,19,19,36,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,29,6,space,6.84,4,6.487,,,,,,50,0,20,20,50,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,48,6,space,5.987,7,5.704,,,,,,1,0,21,21,1,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,26,6,space,2.644,1,1.97,,,,,,43,0,22,22,43,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,38,6,space,4.301,1,3.769,,,,,,3,0,23,23,3,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,51,6,space,11.453,34,11.17,,,,,,78,0,24,24,78,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,48,6,space,5.192,30,4.919,,,,,,80,0,25,25,80,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,51,6,space,16.946,9,16.139,,,,,,38,0,26,26,38,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,51,6,space,14.188,25,13.536,,,,,,16,0,27,27,16,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,38,6,space,4.172,13,3.817,,,,,,45,0,28,28,45,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,39,6,space,10.856,22,10.571,,,,,,25,0,29,29,25,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,49,6,space,6.019,7,5.656,,,,,,67,0,30,30,67,1,,
,,,437,636588af7ec1a36d1f18f93d,20,female,2022-11-22_14h33.31.129,onlinegloss,2022.2.3,MacIntel,30.3030303,,,,,,,,,27,6,space,5.564,5,5.079,,,,,,69,0,31,31,69,1,,
