button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.653700000047692],[7.653800000071527],564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,space,7.015,,,,,,,,,,,,,,,,,,,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,50.1,51.2,,,,,,,,,,,,,,,,,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,space,96.4645,,,,,,,,,,,,,,,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,space,18.732,,,,,,,,,,,,,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,47,25,space,10.2722,48,9.9432,0,0,0,0,1,101,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,44,25,space,2.9119,46,1.7305,0,1,1,1,1,102,,,,,,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,40,25,space,2.9604,42,2.5539,,,,,,45,0,0,0,45,1,,
,,,564,5e5012e6ae58e406242c347b,29,female ,2022-11-22_14h49.35.159,onlinegloss,2022.2.3,MacIntel,60.0024001,,,,,,,,,36,25,space,7.2947,1,6.8076,,,,,,79,0,1,1,79,1,,
