button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.609],[1.6090999999642364],424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,space,0.9562,,,,,,,,,,,,,,,,,,,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,31.4,30,,,,,,,,,,,,,,,,,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,space,0.9838,,,,,,,,,,,,,,,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,,,space,0.6544,,,,,,,,,,,,,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,,,,,38,47,space,8.5939,32,6.0086,0,0,0,0,1,101,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,,,,,39,47,space,5.0085,20,4.3545,0,1,1,1,1,102,,,,,,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,,,,,35,47,space,8.0982,41,7.5017,,,,,,74,0,0,0,74,1,,
,,,424,5e2c8f69cad44b2bc5ce9a34,47,female,2022-11-22_14h31.41.100,onlinegloss,2022.2.3,Win32,59.69436485,,,,,,,,,39,47,space,3.3802,17,2.8911,,,,,,1,0,1,1,1,1,,
