button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.190999999999999],[11.190999999999999],429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,space,6.191,,,,,,,,,,,,,,,,,,,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,44.2,44.2,,,,,,,,,,,,,,,,,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,12.732,,,,,,,,,,,,,,,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,26.991,,,,,,,,,,,,,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,27,52,space,27.898,34,25.17,0,0,0,0,1,101,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,26,52,space,16.745,36,15.569,0,1,1,1,1,102,,,,,,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,52,space,11.464,7,10.018,,,,,,29,0,0,0,29,1,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,39,52,space,9.946,5,9.036,,,,,,51,0,1,1,51,1,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,48,52,space,10.062,3,9.304,,,,,,25,0,2,2,25,1,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,52,space,4.836,1,3.098,,,,,,36,0,3,3,36,1,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,52,space,29.761,17,29.343,,,,,,33,0,4,4,33,1,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,28,52,space,9.732,11,8.869,,,,,,6,0,5,5,6,1,,
,,,429,637774fa068c5a7fb372e6be,54,female ,2022-11-22_14h31.01.675,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,52,space,20.547,8,19.787,,,,,,63,0,6,6,63,1,,
