button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.656399999976159],[4.656500000000001],1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,space,5.2896,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,50.2,43.9,,,,,,,,,,,,,,,,,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,space,8.8136,,,,,,,,,,,,,,,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,space,20.7617,,,,,,,,,,,,,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,41,2,space,25.4756,51,21.2472,0,0,0,0,1,101,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,39,2,space,12.1859,32,10.4297,0,1,1,1,1,102,,,,,,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,29,2,space,16.1583,51,11.2642,,,,,,84,0,0,0,84,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,48,2,space,24.2086,13,21.9669,,,,,,55,0,1,1,55,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,36,2,space,10.7095,16,8.181,,,,,,38,0,2,2,38,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,27,2,space,7.8066,9,6.7645,,,,,,19,0,3,3,19,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,26,2,space,6.5764,5,4.6884,,,,,,80,0,4,4,80,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,40,2,space,12.2838,14,9.8939,,,,,,66,0,5,5,66,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,37,2,space,5.0424,4,3.2677,,,,,,22,0,6,6,22,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,28,2,space,7.7443,6,4.1523,,,,,,45,0,7,7,45,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,29,2,space,3.9619,2,2.1545,,,,,,75,0,8,8,75,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,47,2,space,4.0222,2,2.206,,,,,,10,0,9,9,10,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,35,2,space,5.6558,5,2.6715,,,,,,29,0,10,10,29,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,34,2,space,8.4953,6,7.633,,,,,,33,0,11,11,33,1,,
,,,1039,62b395e51416d07dcdc8a93f,56,female,2022-11-23_14h55.51.354,onlinegloss,2022.2.3,Win32,60.06727535,,,,,,,,,44,2,space,9.7979,4,8.7451,,,,,,52,0,12,12,52,1,,
