button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[27.019],[27.019],529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,space,7.015,,,,,,,,,,,,,,,,,,,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,45,45.1,,,,,,,,,,,,,,,,,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,space,21.38,,,,,,,,,,,,,,,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,space,28.856,,,,,,,,,,,,,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,39,44,space,16.124,43,15.611,0,0,0,0,1,101,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,39,44,space,16.813,22,15.923,0,1,1,1,1,102,,,,,,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,39,44,space,11.901,36,11.328,,,,,,74,0,0,0,74,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,28,44,space,7.851,1,5.945,,,,,,47,0,1,1,47,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,45,44,space,4.68,1,3.75,,,,,,4,0,2,2,4,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,34,44,space,5.057,1,3.191,,,,,,53,0,3,3,53,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,50,44,space,6.533,6,6.01,,,,,,71,0,4,4,71,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,46,44,space,7.9,13,7.325,,,,,,27,0,5,5,27,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,44,44,space,6.954,6,5.515,,,,,,61,0,6,6,61,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,32,44,space,4.692,1,3.053,,,,,,17,0,7,7,17,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,27,44,space,10.282,26,8.825,,,,,,45,0,8,8,45,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,38,44,space,10.891,18,10.021,,,,,,78,0,9,9,78,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,40,44,space,9.135,23,8.706,,,,,,68,0,10,10,68,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,34,44,space,12.244,20,11.568,,,,,,32,0,11,11,32,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,28,44,space,7.8,24,5.686,,,,,,80,0,12,12,80,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,38,44,space,12.656,12,10.401,,,,,,36,0,13,13,36,1,,
,,,529,5e25ab331c55ad7f7e8829e1,33,male,2022-11-22_14h45.08.865,onlinegloss,2022.2.3,MacIntel,62.11180124,,,,,,,,,30,44,space,13.838,24,13.478,,,,,,34,0,14,14,34,1,,
