button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.427999999999999],[8.427999999999999],992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,space,4.031,,,,,,,,,,,,,,,,,,,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,35.8,35.7,,,,,,,,,,,,,,,,,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,7.499,,,,,,,,,,,,,,,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,34.597,,,,,,,,,,,,,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,1,space,12.703,27,9.93,0,0,0,0,1,101,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,1,space,10.863,19,10.52,0,1,1,1,1,102,,,,,,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,32,1,space,3.02,5,2.655,,,,,,34,0,0,0,34,1,,
,,,992,5c87b4fc7e3a9f0016245fde,e.g. 30,female,2022-11-23_11h50.53.929,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,1,space,3.5,1,3.309,,,,,,69,0,1,1,69,1,,
