button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.009299999997026],[8.009299999997026],610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,space,7.5151,,,,,,,,,,,,,,,,,,,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,43.1,43.1,,,,,,,,,,,,,,,,,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,space,24.3556,,,,,,,,,,,,,,,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,space,21.9913,,,,,,,,,,,,,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,40,17,space,14.9765,27,12.7038,0,0,0,0,1,101,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,52,17,space,7.6558,30,6.1325,0,1,1,1,1,102,,,,,,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,32,17,space,11.4699,19,10.3048,,,,,,30,0,0,0,30,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,44,17,space,9.9548,34,8.876,,,,,,17,0,1,1,17,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,33,17,space,6.6875,35,5.3158,,,,,,36,0,2,2,36,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,35,17,space,6.3439,19,5.9981,,,,,,16,0,3,3,16,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,50,17,space,2.9279,17,2.504,,,,,,41,0,4,4,41,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,38,17,space,3.6487,8,3.3745,,,,,,75,0,5,5,75,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,33,17,space,3.6623,29,3.4676,,,,,,78,0,6,6,78,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,42,17,space,6.6806,34,6.0907,,,,,,71,0,7,7,71,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,31,17,space,4.3127,11,4.0792,,,,,,49,0,8,8,49,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,52,17,space,4.8769,29,4.7265,,,,,,62,0,9,9,62,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,46,17,space,3.5084,33,3.3175,,,,,,55,0,10,10,55,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,32,17,space,5.3366,24,5.1634,,,,,,51,0,11,11,51,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,31,17,space,3.3442,32,3.1734,,,,,,33,0,12,12,33,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,28,17,space,2.5722,29,2.3334,,,,,,65,0,13,13,65,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,26,17,space,2.1147,35,1.9935,,,,,,4,0,14,14,4,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,52,17,space,3.3628,31,3.1203,,,,,,74,0,15,15,74,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,49,17,space,2.0465,32,1.9049,,,,,,42,0,16,16,42,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,34,17,space,2.5439,32,2.2067,,,,,,83,0,17,17,83,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,45,17,space,2.4109,17,2.167,,,,,,13,0,18,18,13,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,42,17,space,3.0972,27,2.9705,,,,,,8,0,19,19,8,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,47,17,space,1.9353,33,1.8418,,,,,,69,0,20,20,69,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,51,17,space,2.1511,39,1.9923,,,,,,81,0,21,21,81,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,46,17,space,2.8871,17,2.683,,,,,,10,0,22,22,10,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,32,17,space,2.4771,26,2.3156,,,,,,72,0,23,23,72,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,50,17,space,2.9628,13,2.0861,,,,,,27,0,24,24,27,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,42,17,space,1.9977,15,1.7724,,,,,,39,0,25,25,39,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,34,17,space,7.0833,43,6.6931,,,,,,26,0,26,26,26,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,43,17,space,2.1596,14,1.5242,,,,,,3,0,27,27,3,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,47,17,space,2.6861,35,2.4607,,,,,,23,0,28,28,23,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,33,17,space,2.0172,38,1.6788,,,,,,80,0,29,29,80,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,27,17,space,2.6095,14,2.3782,,,,,,14,0,30,30,14,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,30,17,space,1.7101,13,1.3859,,,,,,79,0,31,31,79,1,,
,,,610,5c2ebf3e626018000134986f,40,male,2022-11-22_14h51.42.883,onlinegloss,2022.2.3,Win32,59.91611744,,,,,,,,,26,17,space,5.5663,43,4.5986,,,,,,84,0,32,32,84,1,,
