button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.851400000095367],[7.851400000095367],361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,space,73.7893,,,,,,,,,,,,,,,,,,,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,40.3,40,,,,,,,,,,,,,,,,,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,space,12.6517,,,,,,,,,,,,,,,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,space,9.6752,,,,,,,,,,,,,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,44,38,space,18.6534,34,16.4799,0,0,0,0,1,101,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,35,38,space,16.8889,17,16.025,0,1,1,1,1,102,,,,,,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,41,38,space,6.3115,1,4.2961,,,,,,16,0,0,0,16,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,28,38,space,12.1116,23,11.9219,,,,,,66,0,1,1,66,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,40,38,space,8.5622,25,8.2227,,,,,,50,0,2,2,50,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,33,38,space,6.1052,19,5.9168,,,,,,41,0,3,3,41,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,28,38,space,7.7848,36,7.0491,,,,,,58,0,4,4,58,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,39,38,space,5.019,32,4.9141,,,,,,78,0,5,5,78,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,35,38,space,3.6613,41,3.4536,,,,,,84,0,6,6,84,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,48,38,space,4.538,18,4.3644,,,,,,72,0,7,7,72,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,49,38,space,3.1075,1,2.8434,,,,,,35,0,8,8,35,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,41,38,space,5.6494,15,5.4427,,,,,,37,0,9,9,37,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,41,38,space,4.3548,31,4.1481,,,,,,28,0,10,10,28,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,51,38,space,4.1131,16,3.9787,,,,,,59,0,11,11,59,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,41,38,space,2.9383,22,2.8327,,,,,,81,0,12,12,81,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,43,38,space,4.101,8,3.3123,,,,,,57,0,13,13,57,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,32,38,space,2.8919,8,1.3692,,,,,,1,0,14,14,1,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,35,38,space,6.7523,12,6.1293,,,,,,65,0,15,15,65,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,49,38,space,2.1524,12,1.8646,,,,,,42,0,16,16,42,1,,
,,,361,5d2b08784588590018cf70bb,55,male,2022-11-22_09h39.08.149,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,40,38,space,5.1706,6,4.4807,,,,,,61,0,17,17,61,1,,
