button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.41009999990463],[10.410299999952315],771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,space,15.3066,,,,,,,,,,,,,,,,,,,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,46.3,40,,,,,,,,,,,,,,,,,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,space,17.8363,,,,,,,,,,,,,,,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,space,49.3411,,,,,,,,,,,,,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,31,16,space,9.9702,39,8.9711,0,0,0,0,1,101,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,33,16,space,17.8199,33,17.3093,0,1,1,1,1,102,,,,,,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,36,16,space,4.4964,9,2.6438,,,,,,79,0,0,0,79,1,,
,,,771,5e1a1b34847130000da19b2f,30,female ,2022-11-22_17h04.49.109,onlinegloss,2022.2.3,Win32,60.04563468,,,,,,,,,30,16,space,6.2515,3,5.7137,,,,,,40,0,1,1,40,1,,
