button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.3360000000000003],[3.336100000000558],629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,space,4.2878,,,,,,,,,,,,,,,,,,,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,44.1,44.5,,,,,,,,,,,,,,,,,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,space,13.5162,,,,,,,,,,,,,,,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,space,19.2251,,,,,,,,,,,,,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,31,36,space,14.2262,25,11.2266,0,0,0,0,1,101,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,40,36,space,15.5937,32,13.9175,0,1,1,1,1,102,,,,,,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,38,36,space,7.4923,5,6.5968,,,,,,29,0,0,0,29,1,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,46,36,space,7.6276,17,6.5313,,,,,,4,0,1,1,4,1,,
,,,629,5bfed68b7f1cfd0001d3a16b,26,Male,2022-11-22_14h55.43.349,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,38,36,space,4.2836,1,3.3547,,,,,,25,0,2,2,25,1,,
