button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[31.408700000002987],[31.408800000004483],469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,space,3.167,,,,,,,,,,,,,,,,,,,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,39.7,39.2,,,,,,,,,,,,,,,,,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,space,10.6034,,,,,,,,,,,,,,,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,space,5.2165,,,,,,,,,,,,,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,51,38,space,27.5067,24,20.7282,0,0,0,0,1,101,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,39,38,space,25.1026,31,23.6133,0,1,1,1,1,102,,,,,,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,36,38,space,11.3378,1,8.3453,,,,,,22,0,0,0,22,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,44,38,space,39.5842,14,36.4826,,,,,,24,0,1,1,24,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,48,38,space,15.8671,2,10.5511,,,,,,17,0,2,2,17,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,40,38,space,27.031,12,21.7796,,,,,,64,0,3,3,64,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,27,38,space,8.2215,1,3.7547,,,,,,46,0,4,4,46,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,44,38,space,15.9473,17,11.4508,,,,,,10,0,5,5,10,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,39,38,space,8.4966,1,5.4558,,,,,,51,0,6,6,51,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,30,38,space,27.3658,13,24.2562,,,,,,23,0,7,7,23,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,41,38,space,9.8139,1,8.3209,,,,,,7,0,8,8,7,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,51,38,space,25.7637,10,21.1748,,,,,,69,0,9,9,69,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,45,38,space,25.8414,14,21.4315,,,,,,6,0,10,10,6,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,45,38,space,16.6341,18,11.3213,,,,,,38,0,11,11,38,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,43,38,space,7.5417,2,4.7003,,,,,,45,0,12,12,45,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,40,38,space,22.2399,20,17.8004,,,,,,40,0,13,13,40,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,31,38,space,12.2013,18,4.676,,,,,,8,0,14,14,8,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,39,38,space,23.341,16,19.4502,,,,,,50,0,15,15,50,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,30,38,space,20.9362,20,15.7298,,,,,,54,0,16,16,54,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,31,38,space,8.3556,2,4.6567,,,,,,21,0,17,17,21,1,,
,,,469,5eac671f0658ac0ea6c730d2,44,male,2022-11-22_14h52.25.196,onlinegloss,2022.2.3,Win32,1.666652778,,,,,,,,,35,38,space,9.0111,1,4.55,,,,,,15,0,18,18,15,1,,
