button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.236700000047687],[10.23680000007153],75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,space,5.2984,,,,,,,,,,,,,,,,,,,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,44.5,44.4,,,,,,,,,,,,,,,,,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,space,13.8766,,,,,,,,,,,,,,,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,space,10.8997,,,,,,,,,,,,,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,36,22,space,24.8199,46,24.5012,0,0,0,0,1,101,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,51,22,space,12.4499,19,12.0774,0,1,1,1,1,102,,,,,,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,51,22,space,10.2391,7,9.621,,,,,,67,0,0,0,67,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,29,22,space,7.3312,43,7.0291,,,,,,84,0,1,1,84,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,51,22,space,9.3978,4,9.1423,,,,,,47,0,2,2,47,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,27,22,space,7.9649,19,7.7641,,,,,,56,0,3,3,56,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,50,22,space,8.0696,9,7.8222,,,,,,76,0,4,4,76,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,50,22,space,15.575,21,15.3592,,,,,,82,0,5,5,82,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,33,22,space,5.539,7,5.223,,,,,,14,0,6,6,14,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,27,22,space,14.1933,45,13.9534,,,,,,70,0,7,7,70,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,33,22,space,7.9786,2,7.7667,,,,,,12,0,8,8,12,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,41,22,space,9.7116,20,9.4198,,,,,,15,0,9,9,15,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,36,22,space,4.2275,4,3.8786,,,,,,35,0,10,10,35,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,49,22,space,8.2586,24,7.7717,,,,,,25,0,11,11,25,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,28,22,space,3.6605,7,3.4088,,,,,,36,0,12,12,36,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,40,22,space,4.6865,38,4.3788,,,,,,19,0,13,13,19,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,35,22,space,4.6016,41,4.2284,,,,,,58,0,14,14,58,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,39,22,space,3.9781,41,3.7419,,,,,,6,0,15,15,6,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,36,22,space,12.7221,39,12.3879,,,,,,1,0,16,16,1,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,26,22,space,3.8737,3,3.5566,,,,,,13,0,17,17,13,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,33,22,space,6.9541,45,6.6366,,,,,,63,0,18,18,63,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,35,22,space,8.2602,14,8.1764,,,,,,45,0,19,19,45,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,43,22,space,2.8063,1,2.4709,,,,,,72,0,20,20,72,1,,
,,,75,6116ec61d3b483e8bc2221e1,28,female,2022-11-21_12h50.32.203,onlinegloss,2022.2.3,MacIntel,59.80861244,,,,,,,,,30,22,space,4.0708,1,3.9279,,,,,,21,0,21,21,21,1,,
