button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.118000000000002],[7.118100000023844],417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,space,5.3643,,,,,,,,,,,,,,,,,,,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,32.6,29.9,,,,,,,,,,,,,,,,,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,space,8.5499,,,,,,,,,,,,,,,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,space,30.8472,,,,,,,,,,,,,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,51,40,space,13.4267,43,12.6842,0,0,0,0,1,101,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,29,40,space,14.2706,19,13.6042,0,1,1,1,1,102,,,,,,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,33,40,space,4.8869,1,3.219,,,,,,1,0,0,0,1,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,46,40,space,7.163,1,6.6552,,,,,,64,0,1,1,64,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,37,40,space,5.7457,5,5.5043,,,,,,66,0,2,2,66,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,44,40,space,6.4212,15,6.2502,,,,,,22,0,3,3,22,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,27,40,space,10.8796,15,10.4923,,,,,,52,0,4,4,52,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,31,40,space,8.8564,17,8.5724,,,,,,12,0,5,5,12,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,29,40,space,4.5173,1,3.5901,,,,,,42,0,6,6,42,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,51,40,space,5.4274,4,4.8858,,,,,,3,0,7,7,3,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,48,40,space,19.0065,18,14.9366,,,,,,77,0,8,8,77,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,41,40,space,5.0607,1,4.0058,,,,,,53,0,9,9,53,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,44,40,space,6.0284,8,1.9373,,,,,,13,0,10,10,13,1,,
,,,417,5c9945a470be990016d10a62,25,female ,2022-11-22_14h21.23.494,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,27,40,space,7.7381,11,6.5158,,,,,,78,0,11,11,78,1,,
