button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[9.37210000000001],[9.372200000000014],833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,space,7.7367,,,,,,,,,,,,,,,,,,,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,52.3,52.2,,,,,,,,,,,,,,,,,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,space,32.4535,,,,,,,,,,,,,,,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,space,18.4173,,,,,,,,,,,,,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,42,24,space,15.073,20,13.9059,0,0,0,0,1,101,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,33,24,space,10.1426,21,9.8816,0,1,1,1,1,102,,,,,,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,36,24,space,16.3633,22,15.8096,,,,,,45,0,0,0,45,1,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,41,24,space,10.2699,23,10.0856,,,,,,67,0,1,1,67,1,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,28,24,space,7.286,12,6.8433,,,,,,14,0,2,2,14,1,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,31,24,space,14.1665,16,13.6025,,,,,,15,0,3,3,15,1,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,45,24,space,7.3941,23,6.7967,,,,,,51,0,4,4,51,1,,
,,,833,59982b9e6c165e000113fab6,55,male,2022-11-22_17h11.45.438,onlinegloss,2022.2.3,Win32,59.89817311,,,,,,,,,44,24,space,10.6816,31,10.1736,,,,,,29,0,5,5,29,1,,
