button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.147699999928477],[11.147699999928477],784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,space,6.6704,,,,,,,,,,,,,,,,,,,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,38.9,39.4,,,,,,,,,,,,,,,,,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,space,24.9877,,,,,,,,,,,,,,,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,space,14.1686,,,,,,,,,,,,,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,36,29,space,41.5787,39,40.1463,0,0,0,0,1,101,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,27,29,space,6.8807,52,3.27,0,1,1,1,1,102,,,,,,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,50,29,space,10.0416,7,7.7706,,,,,,52,0,0,0,52,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,49,29,space,22.951,30,18.8852,,,,,,32,0,1,1,32,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,50,29,space,15.7755,35,13.7668,,,,,,69,0,2,2,69,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,28,29,space,10.1724,20,8.4972,,,,,,39,0,3,3,39,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,29,29,space,9.5469,46,8.4588,,,,,,84,0,4,4,84,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,37,29,space,10.7395,11,9.6245,,,,,,60,0,5,5,60,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,36,29,space,8.5153,11,7.3992,,,,,,75,0,6,6,75,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,32,29,space,8.7725,41,7.314,,,,,,6,0,7,7,6,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,52,29,space,11.2807,38,9.7174,,,,,,56,0,8,8,56,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,47,29,space,12.0494,40,9.352,,,,,,80,0,9,9,80,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,39,29,space,11.3073,7,7.5291,,,,,,49,0,10,10,49,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,43,29,space,15.4679,18,11.8429,,,,,,37,0,11,11,37,1,,
,,,784,60ea38c4daf970d96f76fa96,28,female ,2022-11-22_17h06.56.000,onlinegloss,2022.2.3,Win32,59.95563283,,,,,,,,,40,29,space,7.7747,42,5.7942,,,,,,81,0,12,12,81,1,,
