button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[5.137100000000093],[5.137199999999719],984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,space,7.5282,,,,,,,,,,,,,,,,,,,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,44.4,44.2,,,,,,,,,,,,,,,,,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,space,11.7007,,,,,,,,,,,,,,,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,space,3.0206,,,,,,,,,,,,,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,51,1,space,9.5714,52,8.8969,0,0,0,0,1,101,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,46,1,space,6.0874,26,5.6248,0,1,1,1,1,102,,,,,,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,38,1,space,13.8842,2,9.2786,,,,,,0,0,0,0,0,1,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,42,1,space,11.2387,7,11.0294,,,,,,64,0,1,1,64,1,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,41,1,space,5.6269,16,5.0976,,,,,,31,0,2,2,31,1,,
,,,984,613a8fbbdb47cba39c6c246d,26,female ,2022-11-23_11h43.46.154,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,28,1,space,4.5214,6,3.5089,,,,,,5,0,3,3,5,1,,
