button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.344100000023843],[12.344200000047685],775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,space,5.4078,,,,,,,,,,,,,,,,,,,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,55.5,40.3,,,,,,,,,,,,,,,,,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,space,18.6181,,,,,,,,,,,,,,,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,space,15.6425,,,,,,,,,,,,,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,32,20,space,4.9203,,,0,0,0,0,1,101,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,26,20,space,23.0381,25,20.3278,0,1,1,1,1,102,,,,,,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,29,20,space,12.1697,15,11.3858,,,,,,43,0,0,0,43,1,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,35,20,space,7.6804,3,7.0725,,,,,,44,0,1,1,44,1,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,48,20,space,9.3237,5,8.6405,,,,,,79,0,2,2,79,1,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,29,20,space,7.5089,2,7.0744,,,,,,61,0,3,3,61,1,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,52,20,space,7.9124,3,7.6401,,,,,,9,0,4,4,9,1,,
,,,775,5c6b23a6076e4e0001292f53,50,female ,2022-11-22_17h05.47.695,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,34,20,space,8.8274,16,5.9143,,,,,,17,0,5,5,17,1,,
