button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.573300000011919],[8.573300000011919],590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,space,12.2478,,,,,,,,,,,,,,,,,,,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,49.5,40.7,,,,,,,,,,,,,,,,,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,space,33.1391,,,,,,,,,,,,,,,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,space,68.4842,,,,,,,,,,,,,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,38,51,space,17.3486,36,14.2034,0,0,0,0,1,101,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,42,51,space,15.0896,48,13.8635,0,1,1,1,1,102,,,,,,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,38,51,space,16.488,12,13.6393,,,,,,38,0,0,0,38,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,52,51,space,13.7199,32,11.5607,,,,,,53,0,1,1,53,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,34,51,space,19.1524,1,17.9595,,,,,,48,0,2,2,48,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,51,51,space,9.9382,37,8.9954,,,,,,7,0,3,3,7,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,46,51,space,10.6395,1,9.5957,,,,,,60,0,4,4,60,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,51,51,space,3.2257,,,,,,,,18,0,5,5,18,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,27,51,space,14.593,1,12.2773,,,,,,59,0,6,6,59,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,34,51,space,15.1583,31,13.8769,,,,,,43,0,7,7,43,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,50,51,space,10.4892,2,6.7122,,,,,,79,0,8,8,79,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,43,51,space,7.2402,1,5.3801,,,,,,68,0,9,9,68,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,38,51,space,6.662,5,4.1638,,,,,,20,0,10,10,20,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,44,51,space,6.8403,38,4.7799,,,,,,25,0,11,11,25,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,41,51,space,7.9733,23,5.8633,,,,,,61,0,12,12,61,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,29,51,space,8.7126,5,7.7792,,,,,,56,0,13,13,56,1,,
,,,590,61756116f3525bd231e96e14,38,female,2022-11-22_14h51.22.683,onlinegloss,2022.2.3,Win32,59.97720866,,,,,,,,,34,51,space,5.4126,1,3.4637,,,,,,70,0,14,14,70,1,,
