button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.601200000047683],[3.601300000071525],860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,space,6.8967,,,,,,,,,,,,,,,,,,,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,38.3,37.1,,,,,,,,,,,,,,,,,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,space,11.0341,,,,,,,,,,,,,,,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,space,8.2038,,,,,,,,,,,,,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,37,51,space,6.8884,14,4.6454,0,0,0,0,1,101,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,31,51,space,8.0265,11,7.7647,0,1,1,1,1,102,,,,,,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,42,51,space,2.5486,23,2.277,,,,,,74,0,0,0,74,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,36,51,space,2.8861,2,2.61,,,,,,54,0,1,1,54,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,39,51,space,2.8775,1,2.6878,,,,,,56,0,2,2,56,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,51,51,space,3.7748,8,3.5207,,,,,,59,0,3,3,59,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,37,51,space,2.2407,4,2.1772,,,,,,50,0,4,4,50,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,38,51,space,1.9886,6,1.8937,,,,,,58,0,5,5,58,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,28,51,space,1.893,7,1.8056,,,,,,55,0,6,6,55,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,31,51,space,2.1879,10,1.9056,,,,,,9,0,7,7,9,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,35,51,space,2.5742,25,1.773,,,,,,43,0,8,8,43,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,50,51,space,3.0802,12,2.8413,,,,,,19,0,9,9,19,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,40,51,space,2.8749,7,2.6279,,,,,,49,0,10,10,49,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,50,51,space,3.3233,4,3.2479,,,,,,8,0,11,11,8,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,45,51,space,4.1906,23,3.9065,,,,,,3,0,12,12,3,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,49,51,space,2.8165,4,2.5771,,,,,,39,0,13,13,39,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,52,51,space,2.0034,1,1.722,,,,,,6,0,14,14,6,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,38,51,space,3.1653,5,3.0124,,,,,,4,0,15,15,4,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,29,51,space,2.5077,4,2.2894,,,,,,69,0,16,16,69,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,45,51,space,3.0883,4,2.9875,,,,,,40,0,17,17,40,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,40,51,space,3.3489,25,3.1564,,,,,,37,0,18,18,37,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,26,51,space,2.0399,5,1.8728,,,,,,60,0,19,19,60,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,39,51,space,2.6807,21,2.439,,,,,,1,0,20,20,1,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,52,51,space,1.8178,22,1.5719,,,,,,78,0,21,21,78,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,29,51,space,1.9901,4,1.8126,,,,,,63,0,22,22,63,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,29,51,space,1.8747,5,1.6754,,,,,,29,0,23,23,29,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,38,51,space,2.8113,10,2.5507,,,,,,10,0,24,24,10,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,27,51,space,2.709,12,2.4799,,,,,,53,0,25,25,53,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,40,51,space,2.0911,19,1.7282,,,,,,31,0,26,26,31,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,49,51,space,2.0892,15,1.805,,,,,,32,0,27,27,32,1,,
,,,860,5ab782fe47a9f70001539d00,57,Male,2022-11-22_17h13.21.105,onlinegloss,2022.2.3,Win32,59.94485074,,,,,,,,,38,51,space,1.8498,2,1.6122,,,,,,52,0,28,28,52,1,,
