button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.832200000047683],[8.832400000095367],937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,space,3.5657,,,,,,,,,,,,,,,,,,,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,42.8,38.3,,,,,,,,,,,,,,,,,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,space,8.5888,,,,,,,,,,,,,,,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,space,9.9086,,,,,,,,,,,,,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,33,20,space,9.3824,26,8.8026,0,0,0,0,1,101,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,32,20,space,3.9955,16,1.6858,0,1,1,1,1,102,,,,,,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,35,20,space,3.9851,18,3.7943,,,,,,80,0,0,0,80,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,42,20,space,5.3228,3,5.0525,,,,,,71,0,1,1,71,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,48,20,space,6.5054,15,6.2669,,,,,,5,0,2,2,5,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,31,20,space,5.0972,15,4.8316,,,,,,65,0,3,3,65,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,43,20,space,7.2145,27,7.0151,,,,,,48,0,4,4,48,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,40,20,space,3.9468,16,3.8316,,,,,,36,0,5,5,36,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,32,20,space,5.7634,20,5.3483,,,,,,81,0,6,6,81,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,51,20,space,2.6638,20,2.5314,,,,,,1,0,7,7,1,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,33,20,space,2.2155,20,0.9485,,,,,,67,0,8,8,67,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,46,20,space,4.5805,1,3.9983,,,,,,22,0,9,9,22,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,32,20,space,2.8831,17,2.7315,,,,,,78,0,10,10,78,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,42,20,space,2.5647,20,1.3816,,,,,,56,0,11,11,56,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,48,20,space,3.9154,11,3.1147,,,,,,57,0,12,12,57,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,46,20,space,3.4792,40,3.2982,,,,,,41,0,13,13,41,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,48,20,space,3.583,1,3.215,,,,,,66,0,14,14,66,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,41,20,space,2.1298,2,1.2814,,,,,,21,0,15,15,21,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,38,20,space,5.0166,18,4.6815,,,,,,54,0,16,16,54,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,48,20,space,3.7329,35,3.3318,,,,,,11,0,17,17,11,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,34,20,space,7.5331,1,7.1982,,,,,,0,0,18,18,0,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,26,20,space,3.5497,14,3.3818,,,,,,18,0,19,19,18,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,48,20,space,4.783,26,4.615,,,,,,53,0,20,20,53,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,38,20,space,2.167,1,1.8816,,,,,,47,0,21,21,47,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,33,20,space,1.9002,1,1.6815,,,,,,10,0,22,22,10,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,50,20,space,3.5964,5,3.4144,,,,,,14,0,23,23,14,1,,
,,,937,5641193817bdbe00122a0f23,35,female,2022-11-22_17h21.20.411,onlinegloss,2022.2.3,Win32,59.84440455,,,,,,,,,32,20,space,2.9162,4,2.1482,,,,,,58,0,24,24,58,1,,
