button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[20.633],[20.633],91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,space,6.956,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,59.1,51.5,,,,,,,,,,,,,,,,,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,space,15.749,,,,,,,,,,,,,,,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,space,33.838,,,,,,,,,,,,,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,33,38,space,24.737,38,18.865,0,0,0,0,1,101,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,42,38,space,12.24,44,8.739,0,1,1,1,1,102,,,,,,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,26,38,space,8.081,34,7.025,,,,,,23,0,0,0,23,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,51,38,space,9.862,28,8.111,,,,,,26,0,1,1,26,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,31,38,space,11.472,7,10.328,,,,,,57,0,2,2,57,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,52,38,space,6.327,37,4.623,,,,,,74,0,3,3,74,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,30,38,space,12.761,2,12.825,,,,,,29,0,4,4,29,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,50,38,space,9.242,1,6.391,,,,,,7,0,5,5,7,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,36,38,space,5.122,2,3.533,,,,,,16,0,6,6,16,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,31,38,space,10.381,29,7.454,,,,,,81,0,7,7,81,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,44,38,space,6.909,33,5.169,,,,,,40,0,8,8,40,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,40,38,space,6.352,20,4.059,,,,,,25,0,9,9,25,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,50,38,space,5.744,9,2.876,,,,,,21,0,10,10,21,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,27,38,space,22.317,30,21.831,,,,,,49,0,11,11,49,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,48,38,space,10.278,30,8.552,,,,,,41,0,12,12,41,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,44,38,space,11.982,1,7.982,,,,,,0,0,13,13,0,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,35,38,space,9.179,4,7.472,,,,,,46,0,14,14,46,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,39,38,space,14.984,45,14.413,,,,,,9,0,15,15,9,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,52,38,space,7.535,8,4.086,,,,,,65,0,16,16,65,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,48,38,space,16.542,8,14.256,,,,,,1,0,17,17,1,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,40,38,space,8.59,45,7.433,,,,,,14,0,18,18,14,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,39,38,space,9.184,28,8.039,,,,,,19,0,19,19,19,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,50,38,space,7.012,31,3.628,,,,,,2,0,20,20,2,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,30,38,space,7.997,33,6.844,,,,,,11,0,21,21,11,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,39,38,space,9.162,16,7.993,,,,,,69,0,22,22,69,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,39,38,space,8.054,19,6.879,,,,,,73,0,23,23,73,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,28,38,space,8.595,35,7.422,,,,,,58,0,24,24,58,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,52,38,space,6.877,4,5.731,,,,,,45,0,25,25,45,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,43,38,space,6.322,14,3.477,,,,,,48,0,26,26,48,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,41,38,space,4.571,16,2.849,,,,,,6,0,27,27,6,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,51,38,space,7.99,33,6.287,,,,,,8,0,28,28,8,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,48,38,space,5.27,31,2.334,,,,,,64,0,29,29,64,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,38,38,space,5.745,4,3.472,,,,,,61,0,30,30,61,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,45,38,space,4.604,2,2.887,,,,,,27,0,31,31,27,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,26,38,space,8.41,27,6.572,,,,,,67,0,32,32,67,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,49,38,space,6.401,26,2.96,,,,,,31,0,33,33,31,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,51,38,space,5.188,30,2.874,,,,,,30,0,34,34,30,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,37,38,space,6.347,7,4.039,,,,,,20,0,35,35,20,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,39,38,space,5.385,9,2.999,,,,,,3,0,36,36,3,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,31,38,space,4.728,28,2.985,,,,,,83,0,37,37,83,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,33,38,space,7.618,38,6.456,,,,,,66,0,38,38,66,1,,
,,,91,58fa1836b778bb00014e5215,60,female,2022-11-21_12h54.33.585,onlinegloss,2022.2.3,Win32,4.001360463,,,,,,,,,33,38,space,5.367,28,3.556,,,,,,80,0,39,39,80,1,,
