button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.515800000190737],[2.5159000000953675],835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,space,6.6842,,,,,,,,,,,,,,,,,,,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,44.4,40,,,,,,,,,,,,,,,,,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,space,11.7185,,,,,,,,,,,,,,,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,space,21.3779,,,,,,,,,,,,,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,45,26,space,23.2181,40,19.5599,0,0,0,0,1,101,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,33,26,space,29.2118,25,9.4771,0,1,1,1,1,102,,,,,,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,34,26,space,5.7594,5,3.5105,,,,,,29,0,0,0,29,1,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,48,26,space,7.3906,17,6.5017,,,,,,7,0,1,1,7,1,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,40,26,space,17.7787,6,17.1705,,,,,,39,0,2,2,39,1,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,43,26,space,8.802,6,8.2987,,,,,,61,0,3,3,61,1,,
,,,835,5747ac9d5bef980010b0414b,52, male,2022-11-22_17h11.41.410,onlinegloss,2022.2.3,Linux x86_64,60.06006006,,,,,,,,,37,26,space,6.6545,27,5.9792,,,,,,5,0,4,4,5,1,,
