button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[40.72370000000018],[40.72420000000018],248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,space,10.4972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,58.9,50.7,,,,,,,,,,,,,,,,,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,space,21.703,,,,,,,,,,,,,,,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,space,34.5928,,,,,,,,,,,,,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,48,33,space,29.427,48,23.7109,0,0,0,0,1,101,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,43,33,space,11.8835,35,5.1634,0,1,1,1,1,102,,,,,,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,36,33,space,10.3877,7,6.9903,,,,,,8,0,0,0,8,1,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,34,33,space,9.9067,19,6.9657,,,,,,53,0,1,1,53,1,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,35,33,space,17.4249,19,15.6032,,,,,,37,0,2,2,37,1,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,43,33,space,18.1787,13,15.52,,,,,,80,0,3,3,80,1,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,34,33,space,21.0532,35,19.1328,,,,,,51,0,4,4,51,1,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,36,33,space,13.0069,36,10.9703,,,,,,60,0,5,5,60,1,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,37,33,space,9.5885,4,7.7538,,,,,,4,0,6,6,4,1,,
,,,248,595a4437caff060001c0f176,57,male,2022-11-22_09h32.46.003,onlinegloss,2022.2.3,Linux x86_64,59.98080614,,,,,,,,,30,33,space,7.8286,9,4.3098,,,,,,17,0,7,7,17,1,,
